journal_nlm_id	delay_type	slope	slope_as_percent	p_value
0370612	Publication	  23.09972	   9.22929	 1.43e-05
0370625	Acceptance	   5.06853	   1.61808	 4.61e-01
0370625	Publication	 -19.48404	 -20.55630	 1.96e-08
0370626	Acceptance	  -0.16974	  -0.14931	 7.11e-01
0370626	Publication	  -1.00332	  -1.99351	 2.14e-01
0370635	Acceptance	  -2.64613	  -2.32151	 2.63e-27
0370635	Publication	   7.59394	  20.15259	 7.86e-22
0370667	Acceptance	  -0.83020	  -0.51728	 7.03e-01
0370667	Publication	  -6.61603	 -22.86859	 5.73e-38
0370707	Acceptance	  -0.77675	  -0.63584	 4.35e-02
0370707	Publication	  -5.15063	 -22.04379	2.62e-197
0370711	Acceptance	  -0.38985	  -0.62438	 5.64e-01
0370711	Publication	  -4.98553	 -26.48189	3.68e-130
0370712	Acceptance	  -1.74150	  -1.61565	 4.05e-08
0370712	Publication	  -3.75030	 -20.00144	6.43e-242
0370713	Acceptance	   3.75630	   2.25768	 2.10e-07
0370713	Publication	  -2.89989	 -17.46376	1.61e-150
0370723	Acceptance	   2.85284	   1.38297	 1.50e-01
0370723	Publication	  -1.68692	  -1.77887	 1.87e-01
0370732	Acceptance	  -1.96947	  -2.22226	 6.85e-01
0370735	Acceptance	  -0.13863	  -0.10575	 7.38e-01
0370735	Publication	  -2.48269	 -14.02553	6.69e-131
0370740	Acceptance	   3.65426	   1.89988	 3.06e-03
0370740	Publication	  -7.94411	 -24.92296	 7.40e-28
0372347	Acceptance	  51.90847	  52.04637	 3.38e-02
0372347	Publication	   1.34046	   2.55596	 8.46e-01
0372355	Acceptance	   7.90991	   5.59892	 2.99e-01
0372355	Publication	   4.18370	  17.40083	 6.46e-04
0372403	Acceptance	  14.33413	  13.25053	 1.11e-13
0372430	Acceptance	   2.44852	   3.77084	 4.15e-30
0372430	Publication	  -1.00384	  -8.16100	 3.87e-80
0372434	Acceptance	  -3.14279	  -2.26806	 8.98e-01
